"tree","x","y","dhi","dbh","hi","h"
1,1.08875,-13.41075,49.3066409301181,32.8465947315737,1,19.60158
1,0.331583333333333,3.06191666666667,32.8465947315737,32.8465947315737,1.3,19.60158
1,1.07475,-13.42675,55.4484350256193,32.8465947315737,1.6,19.60158
2,-3.74983333333333,-2.0185,35.2833063650329,35.2833063650329,1.3,19.9686499999999
2,3.4975,-10.833,20.0099536918657,35.2833063650329,1.6,19.9686499999999
3,4.68891666666667,-0.311583333333333,46.0689149984575,46.0689149984575,1.3,22.12905
4,-0.75475,-5.23975,48.6069011550359,43.8322001762314,1,21.329348
4,-0.701416666666667,-5.27908333333333,43.8322001762314,43.8322001762314,1.3,21.329348
4,-0.651,-5.2885,44.3488616424589,43.8322001762314,1.6,21.329348
5,-5.696,-5.4905,21.6391544027808,26.7011423695823,1,16.134616
5,-3.2165,-4.65683333333333,26.7011423695823,26.7011423695823,1.3,16.134616
5,-5.7005,-5.4365,34.0006742273706,26.7011423695823,1.6,16.134616
6,-3.22925,-4.65775,27.9325233627837,16.9116155107549,1,17.579
6,3.94625,4.86425,16.9116155107549,16.9116155107549,1.3,17.579
6,-3.19375,-4.66475,26.8152869391505,16.9116155107549,1.6,17.579
7,-3.72825,-2.01675,32.5189805816903,24.7835832156886,1,21.64093
7,-6.901125,1.375625,24.7835832156886,24.7835832156886,1.3,21.64093
7,-3.734,-2.0425,31.1109141783963,24.7835832156886,1.6,21.64093
8,0.33625,3.06975,30.7278282957804,27.2033874893504,1,17.883919
8,-5.70725,-5.44141666666667,27.2033874893504,27.2033874893504,1.3,17.883919
8,0.31825,3.06875,31.5715579756654,27.2033874893504,1.6,17.883919
9,-7.82475,-12.04475,24.3092147216146,49.5450289836278,1,18.858234
9,2.157,9.40775,49.5450289836278,49.5450289836278,1.3,18.858234
9,-7.8785,-12.014,25.0238775852687,49.5450289836278,1.6,18.858234
10,-9.07525,-9.39975,28.8218502281781,25.54835083122,1,17.894478
10,7.808875,5.892125,25.54835083122,25.54835083122,1.3,17.894478
10,-9.0395,-9.406,28.4322775873816,25.54835083122,1.6,17.894478
11,-11.68075,-4.89775,46.0437568899647,34.2097981598434,1,5.68735399999763
11,-2.338375,9.640625,34.2097981598434,34.2097981598434,1.3,5.68735399999763
11,-11.54975,-4.83475,36.0564216040736,34.2097981598434,1.6,5.68735399999763
12,-13.01025,-6.07925,45.9157085616036,46.4384765631107,1,18.397864
12,9.772625,-2.589625,46.4384765631107,46.4384765631107,1.3,18.397864
12,-12.9505,-6.028,26.2686705645309,46.4384765631107,1.6,18.397864
13,-6.91975,1.35925,22.099631271891,25.375564447783,1,18.835862
13,-6.96175,8.02508333333333,25.375564447783,25.375564447783,1.3,18.835862
13,-6.8825,1.392,27.4675351594862,25.375564447783,1.6,18.835862
14,-10.62975,6.36875,21.1436958386759,21.1436958386759,1.3,19.40312
14,-13.4635,0.131499999999999,11.4793327487464,21.1436958386759,1.6,19.40312
15,-10.62825,6.38725,24.9299795230914,41.0500892470191,1,19.692
15,-11.61525,-4.86625,41.0500892470191,41.0500892470191,1.3,19.692
15,-10.63475,6.35825,18.4280734211849,41.0500892470191,1.6,19.692
16,-7.059,8.0205,33.1756979290861,28.6270639077798,1,18.635744
16,-9.057375,-9.402875,28.6270639077798,28.6270639077798,1.3,18.635744
16,-6.998,7.855,19.367699375553,28.6270639077798,1.6,18.635744
17,1.08175,-13.41875,52.3775379778687,52.3775379778687,1.3,22.4839199999999
17,-5.22325,2.30825,14.0053504084398,52.3775379778687,1.6,22.4839199999999
18,-13.463375,0.168875,17.3865904354837,17.3865904354837,1.3,16.752
18,6.10225,-9.42675,26.1545363334089,17.3865904354837,1.6,16.752
19,9.73325,-2.62725,57.1020891812623,35.407940256049,1,19.528124
19,-12.9675833333333,-6.06325,35.407940256049,35.407940256049,1.3,19.528124
19,9.812,-2.552,35.7748639449591,35.407940256049,1.6,19.528124
20,4.76375,-0.33825,46.7721922031366,24.3742069556912,1,18.352016
20,-7.8525,-12.029,24.3742069556912,24.3742069556912,1.3,18.352016
20,4.622,-0.275,46.3110252515868,24.3742069556912,1.6,18.352016
21,13.6015,6.0525,32.133584986078,32.133584986078,1.3,15.586616
